Destination,Origin,Route Number
Salty Salty Speedway,Dino Dino Jungle,1b
Salty Salty Speedway,Great ? Block Ruins,1b
Salty Salty Speedway,Sky-High Sundae,1c
Salty Salty Speedway,DK Pass,1c
Salty Salty Speedway,Wario's Galleon,1c
Salty Salty Speedway,Cheep Cheep Falls,1d
Salty Salty Speedway,Faraway Oasis,1d
Dino Dino Jungle,Dino Dino Jungle,1a
Dino Dino Jungle,Salty Salty Speedway,1b
Dino Dino Jungle,Peach Beach,1b
Dino Dino Jungle,Great ? Block Ruins,1b
Dino Dino Jungle,Faraway Oasis,1b
Dino Dino Jungle,Koopa Troopa Beach,2
Great ? Block Ruins,Great ? Block Ruins,1a
Great ? Block Ruins,Dino Dino Jungle,1b
Great ? Block Ruins,Faraway Oasis,1b
Great ? Block Ruins,Peach Beach,1b
Great ? Block Ruins,Salty Salty Speedway,1b
Cheep Cheep Falls,Cheep Cheep Falls,1a
Cheep Cheep Falls,Sky-High Sundae,1b
Cheep Cheep Falls,Peach Stadium,1b
Cheep Cheep Falls,Salty Salty Speedway,1b
Cheep Cheep Falls,Faraway Oasis,1b
Cheep Cheep Falls,DK Pass,1b
Cheep Cheep Falls,Choco Mountain,1b
Cheep Cheep Falls,Starview Peak,1b
Cheep Cheep Falls,Moo Moo Meadows,1b
Cheep Cheep Falls,Wario's Galleon,1b
Cheep Cheep Falls,Dandelion Depths,1c
Dandelion Depths,Dandelion Depths,1a
Dandelion Depths,Cheep Cheep Falls,1b
Dandelion Depths,Moo Moo Meadows,1b
Dandelion Depths,Starview Peak,1b
Dandelion Depths,Sky-High Sundae,1b
Dandelion Depths,DK Pass,1b
Dandelion Depths,Mario Circuit,1b
Dandelion Depths,Toad's Factory,1b
Dandelion Depths,Boo Cinema,1b
Dandelion Depths,Acorn Heights,1c
Boo Cinema,Boo Cinema,1a
Boo Cinema,Dandelion Depths,1b
Boo Cinema,Dry Bones Burnout,1b
Boo Cinema,Starview Peak,1b
Boo Cinema,Acorn Heights,1b
Boo Cinema,Mario Circuit,1b
Dry Bones Burnout,Dry Bones Burnout,1a
Dry Bones Burnout,Boo Cinema,1b
Dry Bones Burnout,Acorn Heights,1b
Dry Bones Burnout,Toad's Factory,1c
Dry Bones Burnout,Bowser's Castle,1c
Dry Bones Burnout,Wario Stadium,1c
Dry Bones Burnout,Moo Moo Meadows,1c
Dry Bones Burnout,Mario Circuit,1c
Dry Bones Burnout,Airship Fortress,1d
Moo Moo Meadows,Moo Moo Meadows,1a
Moo Moo Meadows,Choco Mountain,1b
Moo Moo Meadows,Toad's Factory,1b
Moo Moo Meadows,Crown City,1b
Moo Moo Meadows,Mario Circuit,1c
Moo Moo Meadows,Dandelion Depths,1c
Moo Moo Meadows,Dry Bones Burnout,1c
Moo Moo Meadows,DK Pass,1c
Moo Moo Meadows,Peach Stadium,2
Moo Moo Meadows,Cheep Cheep Falls,2
Choco Mountain,Choco Mountain,1a
Choco Mountain,Moo Moo Meadows,1b
Choco Mountain,Peach Stadium,1b
Choco Mountain,Crown City,1b
Choco Mountain,Cheep Cheep Falls,1b
Choco Mountain,Toad's Factory,1c
Choco Mountain,Wario Stadium,1d
Choco Mountain,Mario Bros. Circuit,1d
Choco Mountain,Whistlestop Summit,1d
Choco Mountain,Shy Guy Bazaar,1d
Choco Mountain,Bowser's Castle,1d
Toad's Factory,Toad's Factory,1a
Toad's Factory,Choco Mountain,1b
Toad's Factory,Moo Moo Meadows,1b
Toad's Factory,Mario Bros. Circuit,1b
Toad's Factory,Peach Stadium,1b
Toad's Factory,Mario Circuit,1c
Toad's Factory,Dandelion Depths,1c
Toad's Factory,Bowser's Castle,1d
Toad's Factory,Wario Stadium,1d
Toad's Factory,Airship Fortress,1d
Toad's Factory,Dry Bones Burnout,1d
Toad's Factory,Acorn Heights,1d
Bowser's Castle,Bowser's Castle,1a
Bowser's Castle,Toad's Factory,1b
Bowser's Castle,Dry Bones Burnout,1b
Bowser's Castle,Airship Fortress,1b
Bowser's Castle,Wario Stadium,1b
Bowser's Castle,Choco Mountain,1b
Bowser's Castle,Mario Circuit,1b
Acorn Heights,Acorn Heights,1a
Acorn Heights,Mario Circuit,1b
Acorn Heights,Boo Cinema,1b
Acorn Heights,Dandelion Depths,1b
Acorn Heights,Dry Bones Burnout,1c
Acorn Heights,Toad's Factory,1c
Mario Circuit,Mario Circuit,4
Mario Circuit,Acorn Heights,4
Mario Circuit,Boo Cinema,1
Mario Circuit,Dry Bones Burnout,2
Mario Circuit,Toad's Factory,2
Mario Circuit,Bowser's Castle,2
Mario Circuit,Moo Moo Meadows,3
Mario Circuit,Dandelion Depths,3
Mario Circuit,Starview Peak,3
Rainbow Road,Rainbow Road,1a
Rainbow Road,Peach Stadium,1b
